id,city,locality,apartment_type,area_sqft,bedrooms,bathrooms,floor_number,total_floors,age_of_building,furnished_status,parking_available,gym,swimming_pool,distance_to_metro_km,distance_to_school_km,distance_to_hospital_km,crime_rate_index,air_quality_index,avg_nearby_rent,monthly_rent
1,Mumbai,Andheri West,2BHK,850,2,2,5,12,8,Semi-Furnished,1,1,0,1.2,0.8,2.1,3,87,28000,32000
2,Mumbai,Bandra,3BHK,1200,3,2,8,15,5,Fully-Furnished,1,1,1,0.5,1.2,1.8,2,91,45000,55000
3,Mumbai,Kurla,1BHK,480,1,1,2,7,15,Unfurnished,0,0,0,2.8,1.5,3.2,6,72,14000,13500
4,Pune,Koregaon Park,2BHK,920,2,2,3,10,3,Fully-Furnished,1,1,1,3.5,0.6,1.5,2,95,22000,27000
5,Pune,Hadapsar,1BHK,520,1,1,4,8,10,Semi-Furnished,1,0,0,5.2,1.8,2.8,4,78,10000,11500
6,Bangalore,Koramangala,2BHK,980,2,2,6,14,6,Fully-Furnished,1,1,1,0.8,0.5,1.2,2,88,30000,38000
7,Bangalore,Electronic City,3BHK,1350,3,3,2,6,2,Semi-Furnished,1,0,0,8.5,2.1,3.5,3,82,25000,28500
8,Bangalore,Whitefield,2BHK,1050,2,2,9,18,4,Fully-Furnished,1,1,1,4.2,1.0,2.0,2,86,28000,34000
9,Delhi,Dwarka,3BHK,1400,3,2,5,10,12,Semi-Furnished,1,0,0,6.8,1.3,2.5,5,65,28000,31000
10,Delhi,Saket,2BHK,900,2,2,7,12,7,Fully-Furnished,1,1,1,1.5,0.7,1.0,3,70,35000,42000
11,Delhi,Uttam Nagar,1BHK,440,1,1,1,5,18,Unfurnished,0,0,0,3.2,2.0,4.0,7,62,9500,9000
12,Hyderabad,Gachibowli,2BHK,1000,2,2,4,11,5,Fully-Furnished,1,1,1,2.5,0.9,1.8,2,90,22000,26000
13,Hyderabad,Secunderabad,3BHK,1500,3,3,10,20,3,Fully-Furnished,2,1,1,1.8,0.5,0.8,2,88,35000,44000
14,Hyderabad,Dilsukhnagar,1BHK,500,1,1,3,6,14,Unfurnished,0,0,0,4.5,1.5,2.2,5,75,9000,8500
15,Chennai,Adyar,2BHK,880,2,2,5,10,9,Semi-Furnished,1,0,0,2.0,1.1,1.5,3,80,18000,21000
16,Chennai,Anna Nagar,3BHK,1300,3,2,8,15,6,Fully-Furnished,1,1,1,3.5,0.4,1.0,2,83,28000,35000
17,Chennai,Tambaram,1BHK,460,1,1,2,5,16,Unfurnished,0,0,0,6.5,1.8,3.0,5,71,8000,7500
18,Mumbai,Powai,2BHK,970,2,2,11,22,4,Fully-Furnished,1,1,1,1.5,0.6,1.2,2,89,32000,40000
19,Mumbai,Malad,2BHK,800,2,1,6,14,11,Semi-Furnished,1,0,0,2.8,1.2,2.5,4,80,22000,24000
20,Pune,Wakad,2BHK,860,2,2,5,9,7,Semi-Furnished,1,0,0,7.2,1.4,2.0,3,84,16000,18500
21,Pune,Viman Nagar,3BHK,1250,3,2,4,10,5,Fully-Furnished,2,1,1,4.0,0.8,1.5,2,91,28000,34000
22,Bangalore,HSR Layout,2BHK,1020,2,2,3,8,8,Semi-Furnished,1,0,0,2.5,0.7,1.8,3,87,26000,30000
23,Bangalore,Indiranagar,1BHK,550,1,1,5,12,10,Fully-Furnished,1,1,0,1.0,0.5,1.5,2,89,20000,24000
24,Delhi,Rohini,2BHK,950,2,2,4,8,14,Semi-Furnished,1,0,0,5.5,1.6,3.0,6,64,20000,22000
25,Delhi,Vasant Kunj,3BHK,1600,3,3,6,12,8,Fully-Furnished,2,1,1,4.0,0.6,1.2,2,68,45000,52000
26,Hyderabad,Banjara Hills,2BHK,1100,2,2,7,14,6,Fully-Furnished,1,1,1,1.2,0.7,1.0,2,91,30000,37000
27,Chennai,Velachery,2BHK,840,2,2,3,7,12,Semi-Furnished,1,0,0,3.2,1.3,2.0,4,77,16000,18000
28,Mumbai,Thane,3BHK,1450,3,3,9,18,5,Fully-Furnished,2,1,1,3.0,0.9,1.5,3,83,35000,40000
29,Pune,Hinjewadi,2BHK,900,2,2,6,12,4,Fully-Furnished,1,1,0,9.5,1.5,2.5,3,86,18000,21500
30,Bangalore,Marathahalli,2BHK,890,2,2,4,9,9,Semi-Furnished,1,0,0,6.0,1.1,2.2,4,84,22000,25000
31,Delhi,Lajpat Nagar,2BHK,820,2,1,2,6,20,Unfurnished,0,0,0,2.8,1.0,2.5,5,67,24000,22000
32,Hyderabad,Madhapur,2BHK,980,2,2,8,16,3,Fully-Furnished,1,1,1,1.5,0.6,1.5,2,90,26000,32000
33,Mumbai,Goregaon,1BHK,490,1,1,3,10,13,Unfurnished,0,0,0,4.0,1.4,2.8,5,78,13000,12000
34,Chennai,Porur,2BHK,920,2,2,5,11,7,Semi-Furnished,1,0,0,8.5,1.6,2.5,3,79,14000,16000
35,Pune,Kharadi,2BHK,960,2,2,7,14,3,Fully-Furnished,1,1,0,6.5,0.9,2.0,2,88,20000,24500
36,Bangalore,Bellandur,3BHK,1380,3,3,5,11,6,Fully-Furnished,2,1,1,3.5,1.2,1.8,2,86,32000,39000
37,Delhi,Janakpuri,2BHK,780,2,1,3,7,16,Semi-Furnished,1,0,0,4.5,1.5,3.5,6,66,18000,19000
38,Hyderabad,Ameerpet,1BHK,480,1,1,4,9,12,Semi-Furnished,0,0,0,2.0,0.8,1.5,4,80,11000,12500
39,Mumbai,Navi Mumbai,3BHK,1480,3,3,12,24,2,Fully-Furnished,2,1,1,5.5,0.7,1.0,2,85,38000,46000
40,Pune,Aundh,2BHK,840,2,2,4,8,8,Semi-Furnished,1,1,0,6.0,0.5,1.8,2,90,20000,23500
41,Bangalore,JP Nagar,2BHK,940,2,2,6,13,7,Fully-Furnished,1,1,0,3.8,0.8,1.5,3,87,24000,29000
42,Delhi,Mayur Vihar,2BHK,870,2,2,5,9,11,Semi-Furnished,1,0,0,3.5,1.2,2.2,5,69,22000,24000
43,Hyderabad,Kukatpally,2BHK,920,2,2,3,8,9,Semi-Furnished,1,0,0,4.8,1.0,2.0,4,82,18000,20500
44,Chennai,Nungambakkam,3BHK,1420,3,3,9,18,5,Fully-Furnished,2,1,1,2.5,0.4,0.8,2,84,38000,46000
45,Mumbai,Chembur,2BHK,860,2,2,7,15,9,Fully-Furnished,1,1,0,2.2,0.9,1.5,3,83,26000,31000
46,Pune,Magarpatta,2BHK,1000,2,2,8,16,5,Fully-Furnished,1,1,1,5.0,0.7,1.5,2,92,24000,29000
47,Bangalore,Sarjapur,3BHK,1320,3,2,4,9,6,Semi-Furnished,1,0,0,10.5,1.8,2.8,3,83,26000,29500
48,Delhi,Noida Sector 18,2BHK,950,2,2,10,20,4,Fully-Furnished,1,1,1,1.0,0.6,1.2,3,72,28000,35000
49,Hyderabad,LB Nagar,1BHK,460,1,1,2,6,15,Unfurnished,0,0,0,5.5,1.8,2.5,6,73,8500,7800
50,Chennai,Guindy,2BHK,900,2,2,6,12,8,Semi-Furnished,1,0,0,4.5,1.0,1.2,3,81,19000,22000
51,Mumbai,Dadar,2BHK,750,2,1,4,9,22,Unfurnished,0,0,0,1.5,0.8,1.8,4,76,24000,25000
52,Pune,Bavdhan,2BHK,980,2,2,5,11,4,Fully-Furnished,1,1,0,8.0,1.0,2.2,2,88,21000,25500
53,Bangalore,Hennur,2BHK,870,2,2,3,7,8,Semi-Furnished,1,0,0,7.5,1.5,2.5,4,83,19000,22000
54,Delhi,Gurgaon Sector 56,3BHK,1550,3,3,14,25,3,Fully-Furnished,2,1,1,2.5,0.5,1.0,2,74,52000,62000
55,Hyderabad,Kondapur,2BHK,1050,2,2,6,13,5,Fully-Furnished,1,1,1,2.0,0.8,1.5,2,91,26000,32500
56,Chennai,Sholinganallur,2BHK,960,2,2,7,14,6,Fully-Furnished,1,1,0,6.0,1.2,2.0,3,83,22000,27000
57,Mumbai,Santacruz,3BHK,1380,3,3,5,11,11,Fully-Furnished,1,1,1,1.0,0.5,1.0,2,88,55000,65000
58,Pune,Pimpri,1BHK,500,1,1,2,6,13,Unfurnished,0,0,0,8.5,2.0,3.5,5,79,9000,8200
59,Bangalore,Bannerghatta,2BHK,910,2,2,4,10,10,Semi-Furnished,1,0,0,9.0,1.6,2.8,4,82,18000,20000
60,Delhi,Faridabad,2BHK,1000,2,2,6,12,8,Semi-Furnished,1,0,0,12.0,1.8,2.5,5,68,16000,17500
61,Hyderabad,Tarnaka,1BHK,510,1,1,3,7,14,Semi-Furnished,1,0,0,3.5,1.2,1.8,4,78,10000,11000
62,Chennai,Perambur,1BHK,450,1,1,1,5,18,Unfurnished,0,0,0,5.0,1.5,2.5,6,70,7500,7000
63,Mumbai,Juhu,3BHK,1600,3,3,8,16,7,Fully-Furnished,2,1,1,3.0,0.4,1.5,2,86,70000,82000
64,Pune,Shivajinagar,2BHK,820,2,2,4,8,10,Fully-Furnished,1,1,0,3.0,0.4,1.0,2,90,26000,31000
65,Bangalore,Richmond Town,2BHK,990,2,2,7,15,9,Fully-Furnished,1,1,1,1.5,0.3,0.8,2,90,36000,44000
66,Delhi,Greater Noida,3BHK,1700,3,3,8,16,4,Fully-Furnished,2,1,1,18.0,1.0,2.0,2,76,28000,32000
67,Hyderabad,Himayatnagar,2BHK,880,2,2,5,10,11,Semi-Furnished,1,0,0,2.8,0.6,0.8,3,83,20000,23500
68,Chennai,Chromepet,2BHK,800,2,1,3,7,14,Semi-Furnished,1,0,0,4.0,1.4,2.5,4,74,14000,15500
69,Mumbai,Vikhroli,2BHK,820,2,2,6,13,10,Semi-Furnished,1,0,0,3.5,1.1,2.0,4,80,22000,25000
70,Pune,Pashan,2BHK,930,2,2,4,9,7,Fully-Furnished,1,1,0,6.5,0.8,1.8,2,89,22000,26500
